a    k    ecut    ratio    energy
10.20 4 30.0 3.0 -22.66244816
10.20 4 40.0 3.0 -22.66261692
10.20 4 50.0 3.0 -22.66277291
10.20 4 60.0 3.0 -22.66280500
10.20 4 70.0 3.0 -22.66282342
10.20 4 80.0 3.0 -22.66283970
10.20 4 90.0 3.0 -22.66284365
10.20 4 100.0 3.0 -22.66285097
10.20 4 110.0 3.0 -22.66285491
10.20 4 120.0 3.0 -22.66285714
10.20 4 130.0 3.0 -22.66285953
10.20 4 140.0 3.0 -22.66286133
10.20 4 30.0 3.5 -22.66261960
10.20 4 40.0 3.5 -22.66264282
10.20 4 50.0 3.5 -22.66278665
10.20 4 60.0 3.5 -22.66281187
10.20 4 70.0 3.5 -22.66282977
10.20 4 80.0 3.5 -22.66284226
10.20 4 90.0 3.5 -22.66284940
10.20 4 100.0 3.5 -22.66285227
10.20 4 110.0 3.5 -22.66285667
10.20 4 120.0 3.5 -22.66285909
10.20 4 130.0 3.5 -22.66286018
10.20 4 140.0 3.5 -22.66286202
10.20 4 30.0 4.0 -22.66250166
10.20 4 40.0 4.0 -22.66269150
10.20 4 50.0 4.0 -22.66278464
10.20 4 60.0 4.0 -22.66281843
10.20 4 70.0 4.0 -22.66283253
10.20 4 80.0 4.0 -22.66284645
10.20 4 90.0 4.0 -22.66284995
10.20 4 100.0 4.0 -22.66285429
10.20 4 110.0 4.0 -22.66285737
10.20 4 120.0 4.0 -22.66285965
10.20 4 130.0 4.0 -22.66286091
10.20 4 140.0 4.0 -22.66286217
10.20 4 30.0 4.5 -22.66251832
10.20 4 40.0 4.5 -22.66269361
10.20 4 50.0 4.5 -22.66279779
10.20 4 60.0 4.5 -22.66281943
10.20 4 70.0 4.5 -22.66283673
10.20 4 80.0 4.5 -22.66284698
10.20 4 90.0 4.5 -22.66285192
10.20 4 100.0 4.5 -22.66285470
10.20 4 110.0 4.5 -22.66285825
10.20 4 120.0 4.5 -22.66285988
10.20 4 130.0 4.5 -22.66286110
10.20 4 140.0 4.5 -22.66286248
10.20 4 30.0 5.0 -22.66256540
10.20 4 40.0 5.0 -22.66269308
10.20 4 50.0 5.0 -22.66279933
10.20 4 60.0 5.0 -22.66282399
10.20 4 70.0 5.0 -22.66283682
10.20 4 80.0 5.0 -22.66284855
10.20 4 90.0 5.0 -22.66285192
10.20 4 100.0 5.0 -22.66285546
10.20 4 110.0 5.0 -22.66285830
10.20 4 120.0 5.0 -22.66286018
10.20 4 130.0 5.0 -22.66286126
10.20 4 140.0 5.0 -22.66286255
10.20 4 30.0 5.5 -22.66257673
10.20 4 40.0 5.5 -22.66270447
10.20 4 50.0 5.5 -22.66280047
10.20 4 60.0 5.5 -22.66282515
10.20 4 70.0 5.5 -22.66283841
10.20 4 80.0 5.5 -22.66284882
10.20 4 90.0 5.5 -22.66285267
10.20 4 100.0 5.5 -22.66285549
10.20 4 110.0 5.5 -22.66285860
10.20 4 120.0 5.5 -22.66286025
10.20 4 130.0 5.5 -22.66286137
10.20 4 140.0 5.5 -22.66286266
10.20 4 30.0 6.0 -22.66257772
10.20 4 40.0 6.0 -22.66270717
10.20 4 50.0 6.0 -22.66280432
10.20 4 60.0 6.0 -22.66282578
10.20 4 70.0 6.0 -22.66283925
10.20 4 80.0 6.0 -22.66284952
10.20 4 90.0 6.0 -22.66285270
10.20 4 100.0 6.0 -22.66285578
10.20 4 110.0 6.0 -22.66285865
10.20 4 120.0 6.0 -22.66286037
10.20 4 130.0 6.0 -22.66286145
10.20 4 140.0 6.0 -22.66286271
10.20 4 30.0 6.5 -22.66257528
10.20 4 40.0 6.5 -22.66270769
10.20 4 50.0 6.5 -22.66280553
10.20 4 60.0 6.5 -22.66282717
10.20 4 70.0 6.5 -22.66283932
10.20 4 80.0 6.5 -22.66284976
10.20 4 90.0 6.5 -22.66285291
10.20 4 100.0 6.5 -22.66285585
10.20 4 110.0 6.5 -22.66285876
10.20 4 120.0 6.5 -22.66286043
10.20 4 130.0 6.5 -22.66286150
10.20 4 140.0 6.5 -22.66286277
10.20 4 30.0 7.0 -22.66258469
10.20 4 40.0 7.0 -22.66270981
10.20 4 50.0 7.0 -22.66280565
10.20 4 60.0 7.0 -22.66282776
10.20 4 70.0 7.0 -22.66283995
10.20 4 80.0 7.0 -22.66284980
10.20 4 90.0 7.0 -22.66285307
10.20 4 100.0 7.0 -22.66285592
10.20 4 110.0 7.0 -22.66285883
10.20 4 120.0 7.0 -22.66286047
10.20 4 130.0 7.0 -22.66286155
10.20 4 140.0 7.0 -22.66286279
10.20 4 30.0 7.5 -22.66259031
10.20 4 40.0 7.5 -22.66271276
10.20 4 50.0 7.5 -22.66280685
10.20 4 60.0 7.5 -22.66282777
10.20 4 70.0 7.5 -22.66284005
10.20 4 80.0 7.5 -22.66285005
10.20 4 90.0 7.5 -22.66285308
10.20 4 100.0 7.5 -22.66285602
10.20 4 110.0 7.5 -22.66285886
10.20 4 120.0 7.5 -22.66286052
10.20 4 130.0 7.5 -22.66286157
10.20 4 140.0 7.5 -22.66286282
10.20 4 30.0 8.0 -22.66259128
10.20 4 40.0 8.0 -22.66271401
10.20 4 50.0 8.0 -22.66280767
10.20 4 60.0 8.0 -22.66282833
10.20 4 70.0 8.0 -22.66284009
10.20 4 80.0 8.0 -22.66285012
10.20 4 90.0 8.0 -22.66285320
10.20 4 100.0 8.0 -22.66285603
10.20 4 110.0 8.0 -22.66285892
10.20 4 120.0 8.0 -22.66286054
10.20 4 130.0 8.0 -22.66286160
10.20 4 140.0 8.0 -22.66286283
10.20 4 30.0 8.5 -22.66259171
10.20 4 40.0 8.5 -22.66271388
10.20 4 50.0 8.5 -22.66280807
10.20 4 60.0 8.5 -22.66282857
10.20 4 70.0 8.5 -22.66284032
10.20 4 80.0 8.5 -22.66285014
10.20 4 90.0 8.5 -22.66285325
10.20 4 100.0 8.5 -22.66285609
10.20 4 110.0 8.5 -22.66285894
10.20 4 120.0 8.5 -22.66286057
10.20 4 130.0 8.5 -22.66286161
10.20 4 140.0 8.5 -22.66286284
10.20 4 30.0 9.0 -22.66259231
10.20 4 40.0 9.0 -22.66271454
10.20 4 50.0 9.0 -22.66280810
10.20 4 60.0 9.0 -22.66282855
10.20 4 70.0 9.0 -22.66284042
10.20 4 80.0 9.0 -22.66285024
10.20 4 90.0 9.0 -22.66285327
10.20 4 100.0 9.0 -22.66285613
10.20 4 110.0 9.0 -22.66285896
10.20 4 120.0 9.0 -22.66286058
10.20 4 130.0 9.0 -22.66286162
10.20 4 140.0 9.0 -22.66286284
10.20 4 30.0 9.5 -22.66259487
10.20 4 40.0 9.5 -22.66271557
10.20 4 50.0 9.5 -22.66280853
10.20 4 60.0 9.5 -22.66282867
10.20 4 70.0 9.5 -22.66284042
10.20 4 80.0 9.5 -22.66285029
10.20 4 90.0 9.5 -22.66285332
10.20 4 100.0 9.5 -22.66285614
10.20 4 110.0 9.5 -22.66285899
10.20 4 120.0 9.5 -22.66286059
10.20 4 130.0 9.5 -22.66286163
10.20 4 140.0 9.5 -22.66286285
10.20 4 30.0 10.0 -22.66259682
10.20 4 40.0 10.0 -22.66271610
10.20 4 50.0 10.0 -22.66280886
10.20 4 60.0 10.0 -22.66282886
10.20 4 70.0 10.0 -22.66284049
10.20 4 80.0 10.0 -22.66285030
10.20 4 90.0 10.0 -22.66285335
10.20 4 100.0 10.0 -22.66285617
10.20 4 110.0 10.0 -22.66285899
10.20 4 120.0 10.0 -22.66286061
10.20 4 130.0 10.0 -22.66286163
10.20 4 140.0 10.0 -22.66286285
